feature_id,distance,clock_position,feature_type,orientation,depth_percent,length,width,wall_thickness
W2-1,105.51482943182711,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
New-7,107.17,8:00,External Metal Loss,OD,11.5,1.0,1.0,0.25
B-9537,142.24324891365634,7:00,External Metal Loss,OD,30.970968528444708,1.3288873185767454,4.234215743711979,0.25
W2-2,145.43746696608122,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-3,185.39191573022921,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-7569,185.91122979724958,3:15,Internal Metal Loss,ID,33.27634714857759,1.5440082292765214,4.052030197880223,0.25
W2-4,225.4136404849369,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-9815,226.92765350846793,12:30,External Metal Loss,OD,45.29833507791314,4.394108954947511,2.125133512547315,0.25
B-7494,238.8633007326769,11:00,External Metal Loss,OD,40.75872407311487,4.5225169526878775,1.4837960342352488,0.25
W2-5,265.44998057984685,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-6280,266.7161059620889,3:45,Dent,OD,14.3,1.49,4.93,0.25
W2-6,305.5377651613395,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
New-2,309.52,1:00,External Metal Loss,OD,10.0,1.0,1.0,0.25
W2-7,345.3969834628759,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-8,385.5189006188655,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-6017,391.55900934104517,4:15,Dent,OD,28.3,1.18,1.4,0.25
W2-9,425.5666696618686,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
New-3,426.19,10:00,External Metal Loss,OD,12.7,1.0,1.0,0.25
New-14,430.47,6:00,External Metal Loss,OD,19.5,1.0,1.0,0.25
W2-10,465.5698675996647,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-11,505.5311401098553,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-7069,517.8125376739823,9:45,External Metal Loss,OD,28.883743528501345,1.1347572380101978,3.8049775832872728,0.25
W2-12,545.6141768253952,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-1132,546.7727062178436,9:45,Dent,OD,36.9,2.75,2.24,0.25
B-8095,551.1976492177922,5:45,External Metal Loss,OD,30.218494479421523,4.541669494782403,1.5368147409312227,0.25
B-4494,575.772152096202,12:00,Internal Metal Loss,ID,42.039078150494944,1.9779827381985862,2.566272401009776,0.25
W2-13,585.4196474740204,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
New-9,612.83,6:00,External Metal Loss,OD,17.8,1.0,1.0,0.25
W2-14,625.6095399475488,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-15,665.6146752819179,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-5329,669.2978532204829,1:15,External Metal Loss,OD,35.205618846865555,3.824873348704303,2.1558131418674202,0.25
B-2487,671.1867534593947,8:45,Internal Metal Loss,ID,16.835846995973114,4.877427298745948,1.9731421544145291,0.25
New-1,679.33,2:00,External Metal Loss,OD,19.7,1.0,1.0,0.25
W2-16,705.425903378223,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-17,745.4306086496852,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-18,785.5234934043459,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-19,825.3991221588303,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-4347,848.7938971777954,9:45,External Metal Loss,OD,37.441620704541116,4.153108397328747,1.7379816787893723,0.25
New-8,862.74,11:00,External Metal Loss,OD,10.2,1.0,1.0,0.25
W2-20,865.5463678728121,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-4118,869.8187385081083,12:15,External Metal Loss,OD,31.536473495443733,2.16525451362485,3.2910013597833223,0.25
W2-21,905.4777401322581,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-6858,928.7285685705933,6:30,Dent,OD,39.4,2.08,3.63,0.25
W2-22,945.4658580873244,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-8708,947.2564121459376,8:45,Internal Metal Loss,ID,22.218147849255125,1.2106257864251204,2.4044611029449348,0.25
W2-23,985.4697505830812,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-3431,1010.9714094370785,7:30,Internal Metal Loss,ID,41.721591414969055,3.5965348855701045,1.1395440461970683,0.25
W2-24,1025.4480802483074,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
New-5,1060.84,2:00,External Metal Loss,OD,12.5,1.0,1.0,0.25
W2-25,1065.54866716433,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-26,1105.4541236818604,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
New-0,1122.2,3:00,External Metal Loss,OD,10.9,1.0,1.0,0.25
W2-27,1145.5487542966962,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-4561,1149.701261849633,2:00,Internal Metal Loss,ID,31.591214938495057,2.5632524253504543,4.2229451537160525,0.25
New-11,1162.06,1:00,External Metal Loss,OD,12.2,1.0,1.0,0.25
W2-28,1185.5395620916506,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-29,1225.600038805051,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-3037,1231.1310065947132,2:15,Dent,OD,33.2,1.38,2.11,0.25
B-2322,1232.1891552119823,8:15,Internal Metal Loss,ID,28.440686842716488,3.9931762132065742,1.0765010994889994,0.25
W2-30,1265.4989108528491,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-31,1305.5565280488393,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-32,1345.460569709896,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
New-4,1351.34,1:00,External Metal Loss,OD,15.7,1.0,1.0,0.25
New-6,1363.29,11:00,External Metal Loss,OD,15.6,1.0,1.0,0.25
W2-33,1385.5368872994327,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-5025,1403.0761197495679,2:15,External Metal Loss,OD,36.708983096868145,1.9767976973747436,1.9425642992100882,0.25
W2-34,1425.4855875101107,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-7520,1440.1755134017358,3:30,Internal Metal Loss,ID,39.89527774211189,2.821978472535298,4.62781466986645,0.25
W2-35,1465.4448619202274,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
