feature_id,distance,clock_position,feature_type,orientation,depth_percent,length,width,wall_thickness
W001,100.00,12:00,Girth Weld,OD,0,0,0,0.375
A001,150.25,3:00,External Metal Loss,OD,15.0,2.5,1.0,0.375
A002,320.80,6:00,External Metal Loss,OD,22.0,3.1,1.5,0.375
A003,500.10,9:30,Internal Metal Loss,ID,10.0,1.8,0.8,0.375
A004,750.60,4:30,External Metal Loss,OD,30.0,4.0,2.0,0.375
A005,980.00,7:00,Dent,OD,5.0,6.0,3.0,0.375
W002,1200.00,12:00,Girth Weld,OD,0,0,0,0.375
A006,1350.40,1:30,External Metal Loss,OD,18.0,2.0,1.2,0.375
A007,1600.75,10:00,External Metal Loss,OD,25.0,3.5,1.8,0.375
A008,1800.00,5:00,Internal Metal Loss,ID,12.0,1.5,0.9,0.375
